
|KCFY        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |YUMA                     |AZ |US |BLED   -19920501KA  |3.     kW |3.     kW |73.0    |73.0    |70454      |N |32 |38 |31.00 |W |114 |33 |34.00 |RELEVANT MEDIA, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |135.   m|135.0  m|-         |-       |1236638 |71.    m|173078    |
|K201CQ      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |PRESCOTT                 |AZ |US |BLFT   -19960312TC  |0.     kW |0.008  kW |0.0     |771.0   |21071      |N |34 |41 |40.00 |W |112 |7  |35.00 |FAMILY STATIONS, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|2370.  m|-         |-       |-       |10.    m|221421    |
|-           |88.1  MHz |FA |201 |ND  |-                   |C  |-  |VAC    |DOUGLAS                  |AZ |US |-      --           |-      kW |-      kW |-       |-       |96472      |N |31 |20 |36.00 |W |109 |33 |9.00  |-                                                                           |   0.00 km |   0.00 mi |  0.00 deg |-      m|-      m|-         |-       |-       |0.     m|299769    |
|K201ER      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |HOLBROOK                 |AZ |US |BLFT   -20000128ADH |0.05   kW |0.05   kW |29.0    |0.0     |89665      |N |34 |55 |5.00  |W |110 |8  |25.00 |ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL                   |   0.00 km |   0.00 mi |  0.00 deg |1624.  m|1624.0 m|30889     |-       |1002376 |30.    m|492632    |
|KUYI        |88.1  MHz |FM |201 |ND  |-                   |C1 |-  |LIC    |HOTEVILLA                |AZ |US |BMLED  -20041215AAW |69.    kW |69.    kW |124.0   |124.0   |85622      |N |35 |48 |29.00 |W |110 |16 |23.00 |THE HOPI FOUNDATION                                                         |   0.00 km |   0.00 mi |  0.00 deg |2002.  m|2002.0 m|-         |-       |1214522 |76.    m|1034050   |
|K201IB      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |HEBER-OVERGAARD          |AZ |US |BLFT   -20071211ACG |0.     kW |0.205  kW |0.0     |20.6    |146233     |N |34 |25 |20.00 |W |110 |33 |56.00 |ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL                   |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|2045.  m|31326     |-       |-       |21.    m|1224767   |
|KREE        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |PIRTLEVILLE              |AZ |US |BLED   -20120628AAC |1.5    kW |1.5    kW |46.0    |46.0    |174148     |N |31 |20 |54.00 |W |109 |28 |46.00 |RADIO BILINGUE, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |1358.  m|1358.0 m|-         |-       |1002549 |12.    m|1505715   |
|KLTU        |88.1  MHz |FM |201 |DA  |-                   |C1 |-  |LIC    |MAMMOTH                  |AZ |US |BLED   -20120716ADD |16.    kW |16.    kW |591.0   |591.0   |79359      |N |32 |14 |57.00 |W |111 |6  |57.00 |GOOD NEWS RADIO BROADCASTING, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |1363.  m|1363.0 m|94806     |0.      |1218220 |38.    m|1507538   |
|K201DK      |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |PIGGOTT                  |AR |US |BLFT   -19970321TC  |0.25   kW |0.25   kW |65.0    |65.0    |81223      |N |36 |23 |31.00 |W |90  |14 |45.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |163.   m|163.0  m|-         |-       |-       |41.    m|242928    |
|KBPW        |88.1  MHz |FM |201 |ND  |-                   |C1 |-  |LIC    |HAMPTON                  |AR |US |BLED   -20010824AAE |0.     kW |60.    kW |0.0     |103.0   |91490      |N |33 |32 |11.00 |W |92  |28 |7.00  |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|153.   m|-         |-       |1053714 |94.    m|578915    |
